feature,importance_mean,importance_std
CHLL_NN_TOTAL_roll_mean_28,0.14362051814210344,0.03734514853280836
wind_avg_roll_mean_28,0.11042506047437675,0.03413041087361838
CHL_NN_R2_roll_min_7,0.10559096790608233,0.03765181705713508
CHLL_NN_TOTAL_roll_min_7,0.10082911426606049,0.013493563390973169
day_of_year_cos,0.09698130518689192,0.017033046225351886
Oa12_reflectance_roll_min_14,0.06742708392398891,0.017184997382114833
CHL_NN_R2_roll_mean_7,0.05936751636127431,0.025063816277049143
CHLL_NN_TOTAL_roll_max_14,0.05869550391581928,0.02843688727220857
air_pressure_roll_max_14,0.051224228401125685,0.005214739340825467
temp_min_roll_std_28,0.049388277946133076,0.008048800003197873
air_pressure_roll_min_14,0.047786049702458075,0.007457352673308713
CI_index_roll_mean_7,0.04512417507431006,0.004675660699336796
CHLL_NN_TOTAL_roll_mean_14,0.040941909394192996,0.020801219223859774
water_level_roll_max_28,0.04088679047743056,0.016944988154157528
Watt_per_m2_roll_min_28,0.03843763176753643,0.010670703083906023
precipitation_roll_std_28,0.03574883110112013,0.014007287415361922
wind_speed_2m_roll_max_14,0.02969849818532988,0.006198862328586484
water_level_roll_max_7,0.02874565218582581,0.007272135720339784
coverage_percent_roll_max_28,0.0271158678003248,0.011819499416691338
air_pressure_roll_min_28,0.025557310909658782,0.0031679155432309124
CHL_NN_R3_roll_max_7,0.024536069230985013,0.0023620294801641865
water_level_roll_std_28,0.02381819452265419,0.01434120703594321
coverage_percent_roll_min_28,0.01899361744531376,0.004664183212787271
CHL_NN_R3_roll_std_14,0.018065111652421483,0.0034788959849919882
Oa01_reflectance_roll_min_28,0.017881992717385976,0.004480710959352597
Watt_per_m2_roll_max_28,0.01784930225711321,0.003319818864235509
air_pressure_roll_mean_28,0.015159034410301198,0.0029367801338573613
coverage_percent_roll_std_28,0.014140835013580277,0.006308021525335831
water_level_roll_min_14,0.013352786312516551,0.002180446704810877
CHL_NN_R2_roll_max_14,0.012263794171817378,0.004882894178835408
water_level_roll_std_14,0.012208244510094923,0.006464643225516305
Watt_per_m2_roll_std_28,0.012028539013975825,0.00430198315585797
Watt_per_m2_lag_1,0.01192531875104268,0.0029409777512843256
AWND_roll_max_28,0.01186320162447001,0.0024246440990552034
Watt_per_m2_roll_mean_28,0.0117637357715342,0.004066721370063627
CHL_NN_R2,0.011724504751160093,0.0028432890448869272
Oa16_reflectance_roll_min_14,0.011467851578057386,0.00330326924308198
Oa03_reflectance,0.011412677950373951,0.0022189457461803184
water_level_lag_1,0.010325345891794457,0.003123971616136116
Watt_per_m2,0.01020105267841558,0.0050786565346854756
CHLL_NN_TOTAL,0.010002322052524404,0.011071435766077017
Oa06_reflectance_roll_std_7,0.009627129539287483,0.0028921967211880282
temp_max_roll_std_28,0.009333249551271683,0.004251005469875611
coverage_percent_roll_mean_7,0.008760831892697541,0.0014967967100190257
water_temperature_roll_std_7,0.008484378984531204,0.0037388256594364797
Oa21_reflectance,0.008137613296499735,0.003320840957378033
Oa06_reflectance_roll_max_7,0.007906860008089822,0.0016064187217440012
total_pixels_roll_mean_7,0.007706978284659938,0.003987526457130979
CHL_NN_R2_roll_min_14,0.007672770293804021,0.0028808304919731706
water_level_roll_mean_7,0.007547460148135876,0.0018071869709225979
water_level_roll_mean_28,0.0074866907531510925,0.0036485868735131695
CHL_NN_R1_roll_mean_28,0.007433279738676335,0.00842765379982482
TSM_NN_roll_mean_7,0.006885663268938691,0.0018332051934310777
air_pressure_lag_28,0.006865949504382929,0.0024847588752647427
air_pressure,0.006793872349352937,0.0025673257941044663
