feature,importance_mean,importance_std
air_pressure_lag_14,0.0068139829285517985,0.0019417694637967838
precipitation_roll_max_7,0.006501802759654662,0.0024478012610423695
Watt_per_m2_roll_mean_28,0.006393426994728557,0.0013165061114132062
AWND_lag_28,0.006363413644429094,0.004128912053358335
wind_avg_roll_mean_28,0.006199797194323775,0.00597841397235143
coverage_percent_lag_7,0.005950812305051479,0.00230052726468445
valid_pixels_roll_min_28,0.00578039425746466,0.009429076834022592
Oa01_reflectance_roll_max_28,0.005540026792688213,0.017757409572555952
wind_avg_lag_14,0.0054886228602890165,0.0012336675840236408
wind_speed_2m_roll_min_28,0.0054274596853361775,0.0037115719347565377
CHL_NN_R3_roll_min_7,0.005320497796108814,0.002783398652627442
air_pressure_roll_mean_7,0.005055042270023335,0.005026028006968227
Oa12_reflectance_roll_max_7,0.004907674323695233,0.0009586478803632073
PAR_roll_max_28,0.004836049459376568,0.0018162232696399023
temp_max_roll_mean_7,0.0047998288772533645,0.0011708866464913692
wind_avg_lag_28,0.004761176961451596,0.0012074369648801887
coverage_percent_roll_mean_14,0.004742371390168643,0.0023640412024232378
CHL_OC4ME_roll_mean_14,0.004661919989866448,0.0011500624100166514
IWV_roll_max_28,0.004635472507721427,0.005441071563047952
valid_pixels_lag_28,0.004496010639328496,0.0037449657525609023
wind_speed_2m_lag_1,0.00447811037643806,0.0020591608595807265
air_pressure_roll_min_28,0.00436815945057667,0.004337110188764288
wind_speed_2m_roll_min_14,0.004361097731355646,0.0018702685726210385
Oa12_reflectance_roll_min_7,0.004277643521820895,0.0015430551948291738
coverage_percent_lag_14,0.0042058263237521485,0.003552886027457346
temp_max_lag_1,0.004168498130316856,0.003961135118793693
temp_min_roll_std_14,0.0040912663245106454,0.008635533250211935
air_temperature_roll_mean_7,0.004034639174989074,0.0034644324467706443
IWV_roll_std_28,0.0038632247618688885,0.0022823217258493025
IWV_roll_max_7,0.003822265552029069,0.0012864267929916565
KD490_M07_lag_1,0.0038002195777808723,0.0018257251206291705
precipitation_roll_std_28,0.00375007528949558,0.005138065084591323
temp_min_roll_std_7,0.0037094499397141156,0.003445389376471045
ADG443_NN_roll_min_14,0.003696110970161204,0.002466479128537404
AWND_roll_mean_7,0.0036543200707551014,0.0013971670826136613
AWND_roll_min_7,0.0036149965712864328,0.0030351840092659186
CHL_NN_R2,0.003239748805737008,0.006734088522620064
coverage_percent_roll_std_28,0.00323499056185792,0.003128383709531435
total_pixels,0.0032213161235551623,0.0008397005723940279
CHL_NN_R1_lag_28,0.0032188536745688446,0.0023089767685948973
temp_min_roll_mean_14,0.003210441637156425,0.0009748546730344313
A865_roll_mean_14,0.003168805391289542,0.00117974891799437
T865_roll_std_14,0.0031464913325749853,0.0033380308049855904
Oa01_reflectance_lag_28,0.0031318206674776582,0.0009087321108257433
AWND_lag_7,0.0031170062016607327,0.0034910426040928575
ADG443_NN_roll_mean_7,0.0029936375270395387,0.002538464653118542
CHL_NN_R3_roll_mean_7,0.002926002074553846,0.002160048628407271
water_temperature_roll_mean_28,0.0028618833933137466,0.0009302365240080173
CHL_OC4ME_lag_28,0.002817696820081217,0.005349941718394429
IWV_roll_mean_14,0.0027993184784444124,0.0010937518777641864
Oa06_reflectance_roll_max_7,0.002701803851584561,0.0012118181373656541
wind_avg_roll_max_7,0.0026572389665664884,0.0007345624226235758
CHL_OC4ME_lag_14,0.002657068787994721,0.00251663920188745
air_pressure_lag_28,0.00254964908558204,0.008168760305481297
air_pressure_roll_std_7,0.0025221667612447263,0.0034316640128513255
Oa11_reflectance_lag_7,0.00250987214525189,0.0006362435042556982
A865_lag_28,0.0024427879058156244,0.0028527103715428772
water_level_roll_max_7,0.0024248446880718254,0.0023277035781811665
CHLL_NN_TOTAL,0.002413187486289736,0.005322485196547733
Oa02_reflectance_roll_mean_7,0.0023414092784313388,0.002712888094276546
valid_pixels_lag_1,0.0022882212065438168,0.002877872301095856
T865,0.002258614529028513,0.004232801766442681
