feature,importance_mean,importance_std
CHLL_NN_TOTAL_roll_mean_7,0.1511809347717905,0.029966545016291167
day_of_year_cos,0.12326657530497961,0.022471589885111058
CHLL_NN_TOTAL_roll_min_7,0.05065875946134657,0.01833780374959227
precipitation_roll_std_28,0.045609822130616616,0.014563091657452412
air_pressure_roll_min_28,0.041406344912628734,0.01504401714374963
air_pressure_roll_max_14,0.04034299288228107,0.01000121753727466
air_temperature_roll_min_28,0.03073308655621796,0.03275613642236638
A865_roll_std_28,0.030516278799537177,0.007129185585525764
wind_avg_roll_mean_28,0.02989736736807318,0.01427693422727643
air_pressure_roll_max_28,0.029596165433316245,0.011573557720890743
Oa01_reflectance_roll_min_28,0.029192554908983582,0.007711254751216188
CHLL_NN_TOTAL_roll_max_7,0.024294361622985462,0.00913011847272916
wind_avg_roll_min_7,0.021829754531422108,0.00449985505303136
water_level_roll_max_28,0.020080102205460814,0.005458576037487426
wind_speed_2m_roll_mean_14,0.019557148879934472,0.002808442433224218
wind_avg_roll_max_28,0.019285104815892275,0.005669241286200436
Oa06_reflectance_roll_min_7,0.018211538708941877,0.008908090813327673
TSM_NN_roll_min_7,0.01820687217825352,0.007773472259181616
water_level_roll_min_7,0.017830140458934274,0.009573034667872706
Oa03_reflectance_roll_max_14,0.017099548633429818,0.005738647058021443
water_level_roll_std_28,0.016179683066127427,0.011023984786295621
CHL_NN_R3,0.016078271153088908,0.0032388542628020247
temp_min_roll_mean_14,0.015648545803978963,0.0018649679910787821
AWND_roll_mean_28,0.0155196208285445,0.01100375951953205
water_temperature_roll_max_14,0.014761157368397403,0.0025664185565409466
temp_min_roll_mean_28,0.014588410888099368,0.005979930350883869
water_level_roll_min_28,0.01398895666066875,0.01011121846922338
air_pressure_lag_28,0.013932013645888253,0.003941018927059635
air_temperature_roll_max_28,0.013537054467867637,0.003485679718530699
AWND_roll_mean_14,0.012884395987412001,0.0024279179907399084
precipitation_roll_max_7,0.01283151752977627,0.0021137663467589054
wind_speed_2m_lag_1,0.01225469788336686,0.0020600783688823386
CHL_NN_R1_lag_7,0.012131853195653842,0.005915270974042538
valid_pixels_roll_mean_28,0.011854301135609546,0.004105064183066971
wind_speed_2m_roll_std_7,0.011743496427131017,0.003912647616956526
Oa02_reflectance_roll_std_28,0.011623408883211273,0.0022779293774415014
A865_roll_std_14,0.01160868738638512,0.005108883877716537
AWND_roll_mean_7,0.011597380547782966,0.004111772499734411
day_of_year_sin,0.011377850022193714,0.0030059410117244142
temp_min_roll_std_28,0.01086741848081858,0.006029406166988456
AWND_roll_min_28,0.010251033859846182,0.019543939706433287
temp_max_roll_std_14,0.00971940333058403,0.007480172620954367
Watt_per_m2_roll_std_14,0.009589408923532305,0.005069350722986467
CHL_NN_R3_roll_std_7,0.009521423286425135,0.0018038362821466308
wind_avg_lag_28,0.009447214703511397,0.0023672790639881836
temp_min_roll_min_7,0.00939110633277016,0.0038536480812232828
TSM_NN_roll_max_28,0.009154673372723465,0.0034760163730218605
PAR_roll_mean_7,0.008670042334180384,0.0011873448285838486
temp_max_roll_min_7,0.008363461462573652,0.0021465132973873353
coverage_percent_roll_std_28,0.00832238141331012,0.012364055953319691
air_temperature_roll_std_28,0.008230303652635839,0.0032569480153185086
CHLL_NN_TOTAL_lag_1,0.00799142151581278,0.0035446856423032845
Oa21_reflectance_roll_min_28,0.0076042548349762205,0.002267150763898473
IWV_roll_mean_7,0.007430332591153466,0.001731021708729847
Watt_per_m2_roll_min_14,0.007418832462309633,0.005477939154687068
air_temperature_lag_1,0.007413654751672683,0.002653928616943395
temp_max_roll_mean_7,0.007328027551737027,0.006705923242990682
wind_speed_2m,0.007244959621657232,0.001393292834957005
valid_pixels_roll_max_28,0.007197174473074242,0.004731233827454751
A865_roll_std_7,0.007108824113593881,0.0024796827355898546
CHLL_NN_TOTAL_roll_mean_28,0.00705726072028936,0.02761353988943269
Watt_per_m2_lag_1,0.006583970235272796,0.0039284243095391285
Oa04_reflectance_roll_min_28,0.006513148600773988,0.003381219486560096
TSM_NN_roll_mean_28,0.006448696249923058,0.008606597030018532
PAR_roll_max_14,0.006427106383723791,0.001864109968480445
water_temperature_roll_std_7,0.006178603817739603,0.002518833251015812
air_temperature_roll_min_7,0.006003944797467442,0.004694265291695124
PAR_lag_28,0.005707866863870192,0.001975391328548034
water_level_roll_mean_14,0.005561120544663645,0.0011979388349203691
air_temperature_roll_min_14,0.005476382502813237,0.0017441658519317899
temp_max_roll_mean_14,0.005474366038346367,0.0025500761501005592
wind_speed_2m_roll_max_7,0.004975799715147966,0.005730867414631988
Oa03_reflectance_lag_7,0.004943227572632214,0.0013714045904431398
CHL_OC4ME_roll_max_7,0.004702786243993407,0.0016921967461634472
AWND_roll_std_14,0.004574552670164378,0.0046340737772688125
wind_avg_roll_std_28,0.004521868082844094,0.001045931697683824
air_pressure_lag_7,0.004268840539089824,0.0014571108078040313
